keys,en,ru
refremove_description_304,"And finally, to delete a ref, use

    git update-ref -d refs/<refname>

Delete all refs! :P (Well, except for HEAD. HEAD is special.)",
refcreate_description_305,"Let's take a look at ""refs"" (short for ""references"")! Refs are not objects, but rather very simple *pointers* to objects! They can help you keep track of what's where.

You can create or update a ref with

    git update-ref refs/<refname> <newvalue>

Make sure to always start a ref's name with ""refs/""! That's a convention that helps Git find all refs you create. If you forget the ""refs/"", you will not see the ref.

Create refs that point to all objects in this repository!",
problems_title_306,Problems,
problems_description_307,"Both you and your friend have been working on the file, and want to sync up!",
problems_win_hint_308,Commit your local changes.,
friend_title_309,Friend,
friend_description_310,"Your friend added another line to your essay! Get it, add a third one and send it to them!

Take turns until you have five lines!",
friend_win_hint_311,Got the second line from your friend,
friend_win_hint_312,Got the fourth line from your friend.,
card_init_desc_313,Drag this card into the empty space above to initialize the time machine!,
card_clone_desc_314,Create your own copy of someone else's repo.,
card_configname_desc_315,"Set your name.

(Will not change anything outside of this game.)",
card_configemail_desc_316,Set your email address.,
card_checkout_desc_317,Drag this card to a commit or to a branch to travel to it!,
card_checkoutfile_desc_318,Reset changes in a local file.,
card_checkoutfrom_desc_319,"Get the file contents from the specified commits, and reset both the working directory, as well as the index, to it.",
card_commita_desc_320,"Make a new commit, after automatically adding all changes to the index.
You'll be asked to enter a short description of what you changed.",
card_commitauto_desc_321,Make a new commit containing your current environment! Type in a description of what changed!,
card_merge_desc_322,"Merge the specified timeline into yours. If necessary, will create a merge commit.",
card_mergeabort_desc_323,"Abort the current merge attempt, and reconstruct the previous state.",
card_rebase_desc_324,Put the events in your current timeline on top of the specified one.,
card_pull_desc_325,"Get someone else's version of the current timeline, and try to merge it into yours.",
card_fetch_desc_326,Get a someone else's version of the current timeline.,
card_push_desc_327,Give the current timeline to someone else.,
card_rebaseinteractive_desc_328,"Make changes to the events in your current timeline, back to the commit you drag this to.",
card_rebasecontinue_desc_329,Continue the current rebasing process.,
card_resethard_desc_330,Move the branch you're on to the specified commit.,
card_reset_desc_331,"Jump to the commit, and update the index. Keep the current environment.",
card_resetfile_desc_332,Reset the index version of a file to the version in the commit you're on.,
card_cherrypick_desc_333,Repeat the specified action on top of your current timeline.,
card_revert_desc_334,Make a new commit that reverts the changes of the specified commit.,
card_bisectstart_desc_335,Start looking for the commit where things got bad.,
card_bisectgood_desc_336,"State that the current commit is good! When you're automatically transferred, keep playing the `good` and `bad` cards!",
card_bisectbad_desc_337,"State that the current commit is bad! When you're automatically transferred, keep playing the `good` and `bad` cards!",
card_add_desc_338,Update the index version of the file to its current real content.,
card_rm_desc_339,"Delete a file both in the working directory, as well as the index.",
card_commit_desc_340,Make a commit from the current index.,
card_show_desc_341,Show what changed in the commit.,
card_branch_desc_342,Create a new branch at your current location.,
card_branchdelete_desc_343,Delete a branch.,
card_reflog_desc_344,Display a log of where the ref pointed to in the past.,
card_filenew_desc_345,Create a new file.,
card_filedelete_desc_346,Delete a file.,
card_filerename_desc_347,Rename a file.,
card_filecopy_desc_348,Make a copy of a file.,
